Date ,series ,OPEN ,close ,HIGH ,LOW ,PREV. CLOSE ,CLOSE_TO_CLOSE,OC_SWING,HL_SWING,OH_SWING,ltp ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
13-Sep-23,EQ,98.75,97.9,100.75,97,98.75,-0.85,-0.85,3.75,0.1,97.95,98.58,102.85,44.35,"7,16,61,116","7,06,43,74,863.65","1,25,359"
12-Sep-23,EQ,102.4,98.75,102.5,96.5,101.35,-2.6,-3.65,6,2.55,98.75,99.34,102.85,44.35,"9,09,11,794","9,03,09,86,960.85","1,96,958"
11-Sep-23,EQ,100,101.35,102.55,99.2,99.6,1.75,1.35,3.35,0.35,101.4,101.18,102.85,44.35,"8,38,50,675","8,48,39,91,894.70","1,62,921"
08-Sep-23,EQ,100.75,99.6,101.1,99,100.05,-0.45,-1.15,2.1,2.95,99.25,99.87,102.85,44.35,"6,34,82,366","6,33,99,53,319.70","1,30,168"
07-Sep-23,EQ,98.65,100.05,101.6,98.2,98.2,1.85,1.4,3.4,0.45,99.9,100.23,102.85,44.35,"11,12,22,776","11,14,73,73,589.80","2,27,593"
06-Sep-23,EQ,98.4,98.2,98.85,97.65,98.2,0,-0.2,1.2,1.15,98,98.22,102.85,44.35,"2,83,29,667","2,78,24,29,349.50","92,660"
05-Sep-23,EQ,98.15,98.2,99.3,97.05,98.05,0.15,0.05,2.25,1.1,98.3,98.17,102.85,44.35,"5,11,33,944","5,01,98,88,595.05","1,02,063"
04-Sep-23,EQ,97.5,98.05,98.6,97.3,97.2,0.85,0.55,1.3,0.05,98.05,98.03,102.85,44.35,"3,74,47,917","3,67,10,48,504.50","1,00,072"
01-Sep-23,EQ,98.3,97.2,98.35,96.85,97.6,-0.4,-1.1,1.5,0.75,97.2,97.34,102.85,44.35,"4,75,61,928","4,62,97,63,368.00","1,73,305"
31-Aug-23,EQ,100.05,97.6,100.8,96.7,99.8,-2.2,-2.45,4.1,1,98.6,99.13,102.85,44.35,"11,30,63,640","11,20,85,15,441.05","2,15,488"
30-Aug-23,EQ,99.5,99.8,100.5,97.2,94.7,5.1,0.3,3.3,2.25,99.7,99.07,102.85,44.35,"25,01,11,714","24,77,96,74,439.50","4,42,887"
29-Aug-23,EQ,92.75,94.7,95,92.6,92.35,2.35,1.95,2.4,0.1,94.6,94.14,102.85,44.35,"8,67,08,316","8,16,30,85,797.95","1,86,335"
28-Aug-23,EQ,96,92.35,96.1,91.75,91,1.35,-3.65,4.35,0,92.35,92.93,102.85,44.35,"14,11,18,441","13,11,38,59,418.30","4,14,969"
25-Aug-23,EQ,93.35,91,93.35,90.05,93.8,-2.8,-2.35,3.3,0,92.05,91.19,102.85,44.35,"6,50,76,321","5,93,42,57,006.65","1,52,123"
24-Aug-23,EQ,95.75,93.8,95.75,93.2,94.3,-0.5,-1.95,2.55,2.05,93.65,94.11,102.85,44.35,"4,75,97,101","4,47,94,79,669.05","1,02,141"
23-Aug-23,EQ,92.95,94.3,95,92.05,91.9,2.4,1.35,2.95,4,94.85,93.38,102.85,44.35,"6,47,68,237","6,04,80,92,845.15","1,60,760"
22-Aug-23,EQ,90.3,91.9,94.3,90.1,89.75,2.15,1.6,4.2,0,92,92.94,102.85,44.35,"10,44,09,241","9,70,42,38,035.20","1,94,450"
